07-04-2026 14:38:45 | POST | cafeteria-api/produtos
07-04-2026 14:38:48 | GET | cafeteria-api/produtos
07-04-2026 14:39:13 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:39:13 | POST | cafeteria-api/produtos
07-04-2026 14:39:13 | GET | cafeteria-api/produtos
07-04-2026 14:39:28 | OPTIONS | cafeteria-api/produtos/10
07-04-2026 14:39:28 | DELETE | cafeteria-api/produtos/10
07-04-2026 14:39:36 | GET | cafeteria-api/produtos
07-04-2026 14:39:46 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:39:46 | POST | cafeteria-api/produtos
07-04-2026 14:39:46 | GET | cafeteria-api/produtos
07-04-2026 14:39:50 | GET | cafeteria-api/produtos
07-04-2026 14:39:51 | GET | cafeteria-api/produtos
07-04-2026 14:39:51 | GET | cafeteria-api/produtos
07-04-2026 14:39:57 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:39:57 | POST | cafeteria-api/produtos
07-04-2026 14:39:57 | GET | cafeteria-api/produtos
07-04-2026 14:40:16 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:40:16 | POST | cafeteria-api/produtos
07-04-2026 14:40:18 | POST | cafeteria-api/produtos
07-04-2026 14:40:27 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:40:27 | POST | cafeteria-api/produtos
07-04-2026 14:40:27 | GET | cafeteria-api/produtos
07-04-2026 14:40:57 | GET | cafeteria-api/produtos
07-04-2026 14:41:05 | OPTIONS | cafeteria-api/produtos/21
07-04-2026 14:41:05 | DELETE | cafeteria-api/produtos/21
07-04-2026 14:41:41 | GET | cafeteria-api/produtos
07-04-2026 14:41:44 | GET | cafeteria-api/categorias
07-04-2026 14:42:02 | POST | cafeteria-api/categorias
07-04-2026 14:42:02 | GET | cafeteria-api/categorias
07-04-2026 14:42:18 | POST | cafeteria-api/categorias
07-04-2026 14:42:18 | GET | cafeteria-api/categorias
07-04-2026 14:42:21 | GET | cafeteria-api/produtos
07-04-2026 14:42:46 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:42:46 | POST | cafeteria-api/produtos
07-04-2026 14:42:46 | GET | cafeteria-api/produtos
07-04-2026 14:44:12 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:44:12 | POST | cafeteria-api/produtos
07-04-2026 14:44:12 | GET | cafeteria-api/produtos
07-04-2026 14:44:44 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:44:44 | POST | cafeteria-api/produtos
07-04-2026 14:44:44 | GET | cafeteria-api/produtos
07-04-2026 14:45:22 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:45:22 | POST | cafeteria-api/produtos
07-04-2026 14:45:23 | POST | cafeteria-api/produtos
07-04-2026 14:45:26 | POST | cafeteria-api/produtos
07-04-2026 14:45:26 | GET | cafeteria-api/produtos
07-04-2026 14:45:44 | OPTIONS | cafeteria-api/produtos/18
07-04-2026 14:45:44 | DELETE | cafeteria-api/produtos/18
07-04-2026 14:45:45 | GET | cafeteria-api/produtos
07-04-2026 14:50:20 | GET | cafeteria-api/categorias
07-04-2026 14:50:25 | GET | cafeteria-api/produtos
07-04-2026 14:51:40 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:51:40 | POST | cafeteria-api/produtos
07-04-2026 14:51:40 | GET | cafeteria-api/produtos
07-04-2026 14:52:52 | GET | cafeteria-api/produtos
07-04-2026 14:52:57 | GET | cafeteria-api/produtos
07-04-2026 14:53:29 | OPTIONS | cafeteria-api/produtos/22
07-04-2026 14:53:29 | DELETE | cafeteria-api/produtos/22
07-04-2026 14:53:31 | GET | cafeteria-api/produtos
07-04-2026 14:53:41 | OPTIONS | cafeteria-api/produtos/23
07-04-2026 14:53:41 | DELETE | cafeteria-api/produtos/23
07-04-2026 14:53:44 | GET | cafeteria-api/produtos
07-04-2026 14:54:08 | GET | cafeteria-api/produtos
07-04-2026 14:54:13 | OPTIONS | cafeteria-api/produtos/27
07-04-2026 14:54:13 | DELETE | cafeteria-api/produtos/27
07-04-2026 14:54:13 | GET | cafeteria-api/produtos
07-04-2026 16:17:37 | GET | cafeteria-api/pedidos
07-04-2026 16:18:46 | GET | cafeteria-api/pedidos
07-04-2026 16:18:47 | GET | cafeteria-api/pedidos
07-04-2026 16:18:47 | GET | cafeteria-api/pedidos
07-04-2026 16:18:47 | GET | cafeteria-api/pedidos
07-04-2026 16:18:47 | GET | cafeteria-api/pedidos
07-04-2026 16:19:02 | GET | cafeteria-api/pedidos
07-04-2026 16:19:04 | GET | cafeteria-api/pedidos
07-04-2026 16:19:05 | GET | cafeteria-api/pedidos
07-04-2026 16:19:05 | GET | cafeteria-api/pedidos
07-04-2026 16:19:05 | GET | cafeteria-api/pedidos
07-04-2026 16:20:07 | GET | cafeteria-api/pedidos
07-04-2026 16:20:25 | GET | cafeteria-api/pedidos
07-04-2026 16:20:41 | GET | cafeteria-api/pedidos
07-04-2026 16:21:06 | GET | cafeteria-api/pedidos
07-04-2026 16:22:17 | GET | cafeteria-api/pedidos
07-04-2026 16:25:58 | GET | cafeteria-api/pedidos
